--- TRAINING CONFIGURATION ---
{'model': {'modes1': 64, 'modes2': 64, 'modes3': 64, 'width': 32, 'n_vars': 5, 'n_layers': 4}, 'data': {'train_times': [1, 3], 'target_time': 5, 'simulation_dt': 20.0, 'grid_shape': (256, 256, 256)}, 'physics': {'kappa': 1e-06}, 'training': {'epochs': 4000, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'scheduler_pct_start': 0.1}, 'loss_weights': {'physics': 2.0, 'data': 10.0, 'bc': 50.0, 'smooth': 0.001}}

Epoch 125/4000 | Total: 2.0111e+05 | Physics: 1.3017e+00 | Data: 2.0109e+04 | BC: 4.0473e-01 | Smooth: 3.9338e-01
Epoch 126/4000 | Total: 2.0103e+05 | Physics: 1.3016e+00 | Data: 2.0101e+04 | BC: 4.0472e-01 | Smooth: 4.0061e-01
Epoch 127/4000 | Total: 2.0095e+05 | Physics: 1.3016e+00 | Data: 2.0092e+04 | BC: 4.0471e-01 | Smooth: 4.0835e-01
Epoch 128/4000 | Total: 2.0086e+05 | Physics: 1.3016e+00 | Data: 2.0084e+04 | BC: 4.0470e-01 | Smooth: 4.1664e-01
Epoch 129/4000 | Total: 2.0077e+05 | Physics: 1.3015e+00 | Data: 2.0074e+04 | BC: 4.0468e-01 | Smooth: 4.2552e-01
Epoch 130/4000 | Total: 2.0067e+05 | Physics: 1.3015e+00 | Data: 2.0065e+04 | BC: 4.0467e-01 | Smooth: 4.3507e-01
Epoch 131/4000 | Total: 2.0057e+05 | Physics: 1.3015e+00 | Data: 2.0054e+04 | BC: 4.0466e-01 | Smooth: 4.4532e-01
Epoch 132/4000 | Total: 2.0046e+05 | Physics: 1.3015e+00 | Data: 2.0043e+04 | BC: 4.0464e-01 | Smooth: 4.5631e-01
Epoch 133/4000 | Total: 2.0034e+05 | Physics: 1.3015e+00 | Data: 2.0032e+04 | BC: 4.0463e-01 | Smooth: 4.6806e-01
Epoch 134/4000 | Total: 2.0022e+05 | Physics: 1.3015e+00 | Data: 2.0020e+04 | BC: 4.0461e-01 | Smooth: 4.8058e-01
Epoch 135/4000 | Total: 2.0010e+05 | Physics: 1.3015e+00 | Data: 2.0007e+04 | BC: 4.0460e-01 | Smooth: 4.9385e-01
Epoch 136/4000 | Total: 1.9996e+05 | Physics: 1.3016e+00 | Data: 1.9994e+04 | BC: 4.0458e-01 | Smooth: 5.0789e-01
Epoch 137/4000 | Total: 1.9982e+05 | Physics: 1.3016e+00 | Data: 1.9980e+04 | BC: 4.0456e-01 | Smooth: 5.2269e-01
Epoch 138/4000 | Total: 1.9967e+05 | Physics: 1.3016e+00 | Data: 1.9965e+04 | BC: 4.0454e-01 | Smooth: 5.3829e-01
Epoch 139/4000 | Total: 1.9952e+05 | Physics: 1.3016e+00 | Data: 1.9950e+04 | BC: 4.0452e-01 | Smooth: 5.5466e-01
